"Territory","Macro territory","PCA dimension 0","PCA dimension 1","PCA dimension 2","Winner Cluster"
"Piemonte","North-West",0.2648350304549516,0.376012722936797,0.10634098098397368,"cluster_0"
"Valle d'Aosta","North-West",0.3172324646381006,0.2933779197716002,0.2138535955951517,"cluster_0"
"Liguria","North-West",0.048735261809279964,0.32623550263567935,0.5083808404691235,"cluster_0"
"Lombardia","North-West",0.5067704569743166,0.08218413859986955,-0.016233360743064588,"cluster_0"
"Trentino-Alto Adige","North-East",0.6030452260151041,0.23350088495692883,0.015584279002849779,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.3489492777135848,0.2608816508545233,0.017095605276272963,"cluster_0"
"Veneto","North-East",0.42482923442789206,0.20904505688077057,-0.06341066701821638,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.4318544218988595,0.200949892368797,-0.1986204692974736,"cluster_0"
"Emilia-Romagna","North-East",0.32104695837116143,0.46513976275773833,0.18035505573153007,"cluster_0"
"Toscana","Centre",0.14494086243453802,0.6487504326640513,0.09280596002555405,"cluster_0"
"Umbria","Centre",0.255073499635112,0.25101874999986407,-0.11878754725267796,"cluster_0"
"Marche","Centre",0.06996931204456931,0.5013600166802943,-0.08079340629049399,"cluster_0"
"Lazio","Centre",-0.09299369367407741,0.3089432127908991,0.19616165371853744,"cluster_0"
"Abruzzo","South",-0.11869448468946243,0.26708162500352406,-0.0377965363432962,"cluster_0"
"Molise","South",-0.24139932754888496,0.18651567591355553,-0.17650540079048538,"cluster_1"
"Campania","South",-1.345800867279773,0.38091711543399565,0.37476265408220666,"cluster_1"
"Puglia","South",-0.7672681474833802,0.47560785570831393,-0.16642437938606588,"cluster_1"
"Basilicata","South",-0.5745655311245986,0.01236482067658512,-0.21182004150161907,"cluster_1"
"Calabria","South",-0.7028628919814613,0.18577807783739486,-0.2653984650847232,"cluster_1"
"Sicilia","Islands",-1.384265714707048,0.42412213383576197,0.03229923693079598,"cluster_1"
"Sardegna","Islands",-0.17682775135505535,0.2021153520934261,-0.38499920197834714,"cluster_1"
"North","North",0.39357225454240413,0.23914871475771263,0.05706888130002175,"cluster_0"
"North-West","North-West",0.3926628268860615,0.19136287005193742,0.07576485580521031,"cluster_0"
"North-East","North-East",0.3955943130752092,0.30681293571823476,0.031143463112831598,"cluster_0"
"Centre","Centre",0.029734803210742344,0.4401220398991547,0.10374896897457134,"cluster_0"
"Southern regions","Southern regions",-0.9680635643576083,0.3575457691376259,0.008356211572745513,"cluster_1"
"South","South",-0.9075432296702634,0.35633818188781174,0.04349753841498271,"cluster_1"
"Islands","Islands",-1.089776800018389,0.3660267447959869,-0.06641341529502176,"cluster_1"
"Italy","Italy",-0.15968727593116067,0.3152227557704331,0.05589323550000163,"cluster_0"
"Piemonte","North-West",0.1832879117536274,0.6034932832276043,0.17836878413393686,"cluster_0"
"Valle d'Aosta","North-West",0.370354079230243,0.32933057474841376,-0.1428742200638381,"cluster_0"
"Liguria","North-West",-0.0045701156533098225,0.4175499967570276,0.4515338256724878,"cluster_0"
"Lombardia","North-West",0.4149890950034635,0.15135414938963296,0.1127917346796964,"cluster_0"
"Trentino-Alto Adige","North-East",0.7391705818472433,0.12019480520070847,-0.07977102090087645,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.5973551641711816,0.2210901021580744,-0.08776610385787639,"cluster_0"
"Veneto","North-East",0.3979655945497388,0.31628731074416605,-0.19074870599882712,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.43846849923093306,0.2512165394260374,-0.1395006464151512,"cluster_0"
"Emilia-Romagna","North-East",0.2510336878827928,0.43859218632417896,0.2778868556843092,"cluster_0"
"Toscana","Centre",0.1179843644592162,0.5610623391629083,0.23269776261418468,"cluster_0"
"Umbria","Centre",0.044786375187673554,0.5223589841212068,0.1430798411793551,"cluster_0"
"Marche","Centre",0.029187521824107956,0.6986487888743389,-0.030782306501662526,"cluster_0"
"Lazio","Centre",-0.08622801993799975,0.2162260082418444,0.2003409245400228,"cluster_0"
"Abruzzo","South",-0.07812748976226434,0.2646193646049463,-0.1894126746797429,"cluster_0"
"Molise","South",-0.591857909999088,0.20533232914586058,-0.06522886733905478,"cluster_1"
"Campania","South",-1.2526297808354805,0.2112886842652418,0.27247312759692305,"cluster_1"
"Puglia","South",-0.7262408545012066,0.5224465372563383,-0.3402119036563025,"cluster_1"
"Basilicata","South",-0.52395035366307,-0.21662326923985367,-0.264575331010056,"cluster_1"
"Calabria","South",-0.6879863459695743,0.17889954818282586,-0.33998776982393625,"cluster_1"
"Sicilia","Islands",-1.5745048738455198,0.41304010188577034,0.19812075341818516,"cluster_1"
"Sardegna","Islands",-0.32514324521516835,0.09555147140422673,-0.25030686432326477,"cluster_1"
"North","North",0.3362549923091347,0.317881464937665,0.10055219587837025,"cluster_0"
"North-West","North-West",0.30859636864798917,0.30547897970022253,0.16105345442000024,"cluster_0"
"North-East","North-East",0.37509065158717086,0.3372858810903889,0.003824730060619449,"cluster_0"
"Centre","Centre",0.005297296487702982,0.41120225673679917,0.17636204523421142,"cluster_0"
"Southern regions","Southern regions",-0.99290015091742,0.3025056668251713,-0.022734387562590726,"cluster_1"
"South","South",-0.8642336111250598,0.28234146701416174,-0.06790910759331475,"cluster_1"
"Islands","Islands",-1.263190828577085,0.3349018772724811,0.08444338782913474,"cluster_1"
"Italy","Italy",-0.20341791970871861,0.3210603313521999,0.0899917805934437,"cluster_1"
"Piemonte","North-West",0.29445001048087255,0.12068519832631257,0.15865036125531556,"cluster_0"
"Valle d'Aosta","North-West",0.4092225206988323,0.22711993849377649,0.00631086195992683,"cluster_0"
"Liguria","North-West",-0.011042872096811106,0.30853913025877633,0.47973436409679915,"cluster_0"
"Lombardia","North-West",0.4362195851158379,0.0111918918852877,0.0457823871717397,"cluster_0"
"Trentino-Alto Adige","North-East",0.8073527241797046,-0.01076972009805817,-0.06289532077051949,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.6079515235002949,0.013690527441965979,-0.028679934630842657,"cluster_0"
"Veneto","North-East",0.4667337702124135,0.08720683378195451,-0.18593226529260037,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.44092996095853076,0.21311465988564704,-0.18078926075977458,"cluster_0"
"Emilia-Romagna","North-East",0.4728517678379371,0.09091038279666536,0.14502713865794728,"cluster_0"
"Toscana","Centre",0.23624764558732894,0.20503041077905557,0.04312679533586343,"cluster_0"
"Umbria","Centre",0.02776383635636414,0.25933409830863563,0.08069751934960478,"cluster_0"
"Marche","Centre",0.046396986431088465,0.5696803990649077,-0.10120869247650247,"cluster_0"
"Lazio","Centre",0.008366393395347792,-0.07871261341683373,0.18951123271851303,"cluster_0"
"Abruzzo","South",-0.23654527859821317,0.18039169451800233,-0.16421813334602137,"cluster_1"
"Molise","South",-0.26378862163369116,-0.038654663142250426,-0.2116526853916021,"cluster_1"
"Campania","South",-1.1431264346613577,0.0890591154761589,0.011939800898815849,"cluster_1"
"Puglia","South",-0.6865592906551357,0.32085211687370274,-0.3760306363431928,"cluster_1"
"Basilicata","South",-0.44792883185399784,0.05249718517169459,-0.23888590035447657,"cluster_1"
"Calabria","South",-0.7252362036985948,0.08507272357846678,-0.27602629174270604,"cluster_1"
"Sicilia","Islands",-1.3081023781968066,-0.01025271590360849,0.13846475712937306,"cluster_1"
"Sardegna","Islands",-0.4815418115040445,-0.2700416409022207,-0.2374322381130847,"cluster_1"
"North","North",0.4108796401587122,0.08016997683513491,0.052399474156102965,"cluster_0"
"North-West","North-West",0.3500196955449644,0.07132666521455885,0.12416048652160483,"cluster_0"
"North-East","North-East",0.4943733064206053,0.09323235534892678,-0.04620641909328969,"cluster_0"
"Centre","Centre",0.09162157455636719,0.11972144914606048,0.09267579230692655,"cluster_0"
"Southern regions","Southern regions",-0.9178297500939772,0.08144433197313858,-0.09618477863321166,"cluster_1"
"South","South",-0.825114278938578,0.15436079069114866,-0.1658482726293102,"cluster_1"
"Islands","Islands",-1.11612077803583,-0.08460499086654033,0.06335088153762568,"cluster_1"
"Italy","Italy",-0.12697606096762343,0.07776156014248686,0.02650904288936627,"cluster_0"
"Piemonte","North-West",0.34228872557264883,0.13329126722964824,0.08288191405479389,"cluster_0"
"Valle d'Aosta","North-West",0.506610595359399,-0.050689507038324616,0.07363973973246213,"cluster_0"
"Liguria","North-West",0.06278343825716343,0.19300791370251946,0.3192095101140586,"cluster_0"
"Lombardia","North-West",0.44333682629518356,-0.06938594095327527,0.14747569443550063,"cluster_0"
"Trentino-Alto Adige","North-East",0.7584555321873948,-0.04835850754384946,0.13572269109486584,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.6612385243396346,-0.20512416890131346,0.08126416260055783,"cluster_0"
"Veneto","North-East",0.47251361327350366,0.04082727916787986,-0.25899810229247805,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.5922569176526477,-0.07194546017168324,-0.2716557877982487,"cluster_0"
"Emilia-Romagna","North-East",0.5008652609460102,0.06580061458104328,0.06636770155896884,"cluster_0"
"Toscana","Centre",0.3770851105433528,0.1903688706536586,0.008109693546382293,"cluster_0"
"Umbria","Centre",-0.021085884187874143,0.14275090915310454,0.07297101650019634,"cluster_0"
"Marche","Centre",0.09047016174914171,0.4294931745295577,-0.03689495316444077,"cluster_0"
"Lazio","Centre",-0.02389138600446758,-0.10233978713594336,0.35202747955733293,"cluster_0"
"Abruzzo","South",-0.17577232796227504,0.16952976196487513,-0.2740654199098668,"cluster_1"
"Molise","South",-0.2919199858562997,0.22986404421280987,-0.14749701438796672,"cluster_1"
"Campania","South",-1.024469746820432,0.024294854554761658,0.0397009849366049,"cluster_1"
"Puglia","South",-0.7431867454343243,0.0534736251364109,-0.08665296768553896,"cluster_1"
"Basilicata","South",-0.3046264640206187,-0.06828711642268775,-0.35153279172459073,"cluster_1"
"Calabria","South",-0.8070882259478023,0.08822078586019397,-0.019719864038308083,"cluster_1"
"Sicilia","Islands",-1.3379482617967706,-0.09879398394925465,0.1483007538581141,"cluster_1"
"Sardegna","Islands",-0.4142036911948582,-0.28350765572068315,-0.1103712994087177,"cluster_1"
"North","North",0.43937700988936196,0.020544129662057577,0.04328843078400581,"cluster_0"
"North-West","North-West",0.37647153992072047,0.012571517210476252,0.15071038190131053,"cluster_0"
"North-East","North-East",0.5222051883461083,0.03140315421865831,-0.09849598651582256,"cluster_0"
"Centre","Centre",0.11114629409163207,0.07326118963259702,0.17890423383444307,"cluster_0"
"Southern regions","Southern regions",-0.8910549836191408,-0.009040741710981334,-0.011323456858449533,"cluster_1"
"South","South",-0.7838805074528967,0.0554097878282724,-0.060464039175334515,"cluster_1"
"Islands","Islands",-1.1160558566665992,-0.14688675777135973,0.08928749957747449,"cluster_1"
"Italy","Italy",-0.09819087260029453,0.009539062281994717,0.06811276008451392,"cluster_0"
"Piemonte","North-West",0.3058210212421664,-0.05135985672828641,0.133139722367405,"cluster_0"
"Valle d'Aosta","North-West",0.33246369574362516,-0.05568594994205897,0.01602996626440029,"cluster_0"
"Liguria","North-West",0.1934691556438219,0.11802356476853225,0.2732921632074285,"cluster_0"
"Lombardia","North-West",0.4509920940887862,-0.10803049727760658,0.21124050652133441,"cluster_0"
"Trentino-Alto Adige","North-East",0.7784267292364301,-0.28328121520545935,0.1778238585650095,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.47176980374011773,-0.30718355166052713,0.1589056326864586,"cluster_0"
"Veneto","North-East",0.5151379264080772,-0.042696187258187294,-0.07418105568768842,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.5856315995249323,0.016958780739267345,-0.1576334637679814,"cluster_0"
"Emilia-Romagna","North-East",0.5603791777971471,-0.04103551562556364,0.08367703583502893,"cluster_0"
"Toscana","Centre",0.4210896058917438,0.18586236061607794,0.03973578225264238,"cluster_0"
"Umbria","Centre",0.18785033418948327,0.16842526820480996,-0.10718256001605446,"cluster_0"
"Marche","Centre",0.2270472589967217,0.07994320428068641,-0.1010584781988585,"cluster_0"
"Lazio","Centre",0.006472877170798244,-0.19131324463097013,0.4019115932056391,"cluster_0"
"Abruzzo","South",-0.07002164192617612,0.08732541493688475,-0.22095216431383294,"cluster_0"
"Molise","South",-0.2190970234878689,-0.21437576111833587,-0.02875637926778724,"cluster_1"
"Campania","South",-1.0732563531011416,-0.22593094003364864,0.16430112159671464,"cluster_1"
"Puglia","South",-0.5468307490806859,-0.04571468298911156,-0.29396456644255353,"cluster_1"
"Basilicata","South",-0.3487781283443265,0.014375477006344353,-0.25616330525943426,"cluster_1"
"Calabria","South",-0.677311611053661,-0.3331002033016505,-0.07726858409908306,"cluster_1"
"Sicilia","Islands",-1.1095449149441399,-0.3739416841876639,0.2638289374719438,"cluster_1"
"Sardegna","Islands",-0.3859237069272657,-0.4050748953362855,-0.09482789145939792,"cluster_1"
"North","North",0.45686185688697567,-0.06529503047169252,0.11501852047301774,"cluster_0"
"North-West","North-West",0.3853811375080067,-0.06684087805040832,0.1935778722751891,"cluster_0"
"North-East","North-East",0.5614273478102139,-0.05958893450296342,0.0058840741487636555,"cluster_0"
"Centre","Centre",0.17874971437257509,-0.014293263377549378,0.18729532626880807,"cluster_0"
"Southern regions","Southern regions",-0.7965776961677372,-0.2311010804294924,0.02546112352794693,"cluster_1"
"South","South",-0.7222134251963968,-0.1509721158391953,-0.06203746042565347,"cluster_1"
"Islands","Islands",-0.9426215928193583,-0.3891109939796565,0.18849102531664516,"cluster_1"
"Italy","Italy",-0.04421387038883765,-0.11780993094536568,0.115554229508691,"cluster_0"
"Piemonte","North-West",0.3259112710506754,0.06645983690711396,0.033724908827600056,"cluster_0"
"Liguria","North-West",0.2732703734497867,0.0097168375609549,0.2642384363843867,"cluster_0"
"Lombardia","North-West",0.5674905126229176,-0.24861782506059987,0.10983263207375828,"cluster_0"
"Trentino-Alto Adige","North-East",0.8963401500405187,-0.19820147871357255,0.12442868451253827,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.6267439068331421,-0.18447488414772314,-0.0014878211546780137,"cluster_0"
"Veneto","North-East",0.5510503115239971,0.023596685153614995,-0.14748991524704017,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.6100885157770511,0.023341537030782455,-0.18951931604550531,"cluster_0"
"Emilia-Romagna","North-East",0.5826677480261188,0.005833985531386872,0.004910160283552362,"cluster_0"
"Toscana","Centre",0.4478589479435327,-0.04066593854232467,0.031405244960586755,"cluster_0"
"Umbria","Centre",0.3850483483410794,0.1403336997602496,-0.1943129603834257,"cluster_0"
"Marche","Centre",0.2503378601115682,0.1856640244465484,-0.20737804236205315,"cluster_0"
"Lazio","Centre",0.12966041963021127,-0.2532678866808872,0.17072134421634327,"cluster_0"
"Abruzzo","South",-0.019176838328361156,-0.028242999992111485,-0.10177579920879194,"cluster_0"
"Molise","South",-0.16776842381880547,-0.004792965261951557,-0.3236590568158338,"cluster_1"
"Campania","South",-0.9080550279869094,-0.37087523102113595,0.1719504250739647,"cluster_1"
"Puglia","South",-0.31659471373833414,-0.031081540138783018,-0.34188287154478403,"cluster_1"
"Basilicata","South",-0.2946197778938402,-0.20587107963860407,-0.20774967357337307,"cluster_1"
"Calabria","South",-0.6709640901792584,-0.3322716505122155,-0.04652617369783862,"cluster_1"
"Sicilia","Islands",-1.019318186954052,-0.22113754135253763,0.12530737495382688,"cluster_1"
"Sardegna","Islands",-0.4129655822503009,-0.4342007677586044,-0.005907968994226822,"cluster_1"
"North","North",0.5240269863117155,-0.08652362936370345,0.037579274568265084,"cluster_0"
"North-West","North-West",0.47176698226579594,-0.14243647159707246,0.10660010121127902,"cluster_0"
"North-East","North-East",0.6015835020005856,-0.0025925686618263263,-0.06659489880514777,"cluster_0"
"Centre","Centre",0.2640445990277288,-0.09953940366407733,0.05053990794474775,"cluster_0"
"Southern regions","Southern regions",-0.6762367386797864,-0.24024085656845143,-0.008692180832553917,"cluster_1"
"South","South",-0.586663057110585,-0.225917576433722,-0.05575673631527964,"cluster_1"
"Islands","Islands",-0.8797999704409595,-0.28361364614215395,0.10535787942153511,"cluster_1"
"Italy","Italy",0.04295101969676467,-0.15121726044619932,0.04498073340449073,"cluster_0"
"Piemonte","North-West",0.41690532156219534,-0.12188115434518029,0.06413388986751309,"cluster_0"
"Liguria","North-West",0.47657730029714807,-0.13817121836898244,0.26532496126708693,"cluster_0"
"Lombardia","North-West",0.6798888329651935,-0.2659926591693915,0.06647662236701712,"cluster_0"
"Trentino-Alto Adige","North-East",0.8736276532076944,-0.3067680570107145,0.07581045142303924,"cluster_0"
"Provincia Autonoma di Bolzano/Bozen","North-East",0.998069840155213,-0.18795940575611245,0.20873233074176736,"cluster_0"
"Veneto","North-East",0.676772398863171,-0.24400748192833763,-0.12132837599232896,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.6616885041804097,-0.08167224764251117,-0.22340316868550839,"cluster_0"
"Emilia-Romagna","North-East",0.7035343658908999,-0.23323096599778118,-0.01254055108108524,"cluster_0"
"Toscana","Centre",0.5315267027785173,-0.2058173363239767,-0.08075913749599908,"cluster_0"
"Umbria","Centre",0.41257494193958844,0.02550660002552617,-0.2388105535325451,"cluster_0"
"Marche","Centre",0.5371388111718952,-0.0428435682241478,-0.21114758719573426,"cluster_0"
"Lazio","Centre",0.11685810031178806,-0.1731870211104094,0.20246429983059813,"cluster_0"
"Abruzzo","South",0.07719181775732444,-0.0659320031721658,-0.16543997369111027,"cluster_0"
"Molise","South",0.052877729693959534,-0.12125673300964686,-0.25159612401570325,"cluster_0"
"Campania","South",-1.0346691319507249,-0.41714706936469337,0.28083124709543184,"cluster_1"
"Puglia","South",-0.26375693125279337,-0.21910759467979996,-0.2373783217660353,"cluster_1"
"Basilicata","South",-0.23142382440539755,-0.4350452035562302,-0.1952999549620701,"cluster_1"
"Calabria","South",-0.35722594488047715,-0.41101004206287506,-0.25175065121556,"cluster_1"
"Sicilia","Islands",-0.9418627065559665,-0.42538397801965344,0.0943422236577209,"cluster_1"
"Sardegna","Islands",-0.3032906351515521,-0.3536462609367398,-0.16891851277359513,"cluster_1"
"North","North",0.6350735614076596,-0.22305652290568478,0.020128514153826375,"cluster_0"
"North-West","North-West",0.590052398671677,-0.21314170088205275,0.08271211454942744,"cluster_0"
"North-East","North-East",0.7013315477389037,-0.227477724446303,-0.06975551032149974,"cluster_0"
"Centre","Centre",0.31933026912378354,-0.15556380531044733,0.03380048229301158,"cluster_0"
