,Per capita adjusted disposable income,Disposable income inequality,People at risk of poverty,Per capita net wealth,People living in absolute poverty,Severe material deprivation rate,Severe housing deprivation rate,Difficulties to make ends meet,Low work intensity,Housing cost overburden,Family economic conditions,Satisfaction with one's own life,Leisure satisfaction,Positive verdict on future prospects,Negative verdict on future prospects,TERRITORIO,ANNO
0,19110.4,4.8,12.8,,,3.4,7.2,11.6,8.9,12.0,,,,,,Piemonte,2004
1,19494.4,4.1,9.5,,,2.7,7.0,6.2,7.4,9.7,,,,,,Valle d'Aosta,2004
2,19237.1,5.2,13.3,,,2.8,5.4,8.9,12.4,14.6,,,,,,Liguria,2004
3,20444.0,4.9,10.0,,,2.4,4.9,9.1,7.5,12.6,,,,,,Lombardia,2004
4,20269.9,4.3,8.8,,,1.8,9.0,4.8,5.1,11.5,,,,,,Trentino-Alto Adige,2004
5,21304.4,4.3,8.3,,,3.2,7.1,4.6,7.4,13.0,,,,,,Provincia Autonoma di Bolzano/Bozen,2004
6,19274.5,4.2,9.3,,,,10.7,4.9,2.9,10.0,,,,,,Provincia Autonoma di Trento,2004
7,17654.2,4.1,9.8,,,3.4,6.2,9.9,7.0,12.3,,,,,,Veneto,2004
8,18425.5,4.1,9.0,,,3.2,4.6,10.3,8.1,8.4,,,,,,Friuli-Venezia Giulia,2004
9,20730.7,4.6,8.6,,,2.2,6.4,7.7,6.5,11.8,,,,,,Emilia-Romagna,2004
10,18608.9,4.0,9.6,,,2.5,4.5,11.5,6.8,10.9,,,,,,Toscana,2004
11,17394.7,4.2,11.7,,,3.4,6.8,10.2,9.9,8.4,,,,,,Umbria,2004
12,16270.4,4.1,11.6,,,4.0,7.9,10.6,8.0,8.9,,,,,,Marche,2004
13,18762.3,5.6,16.8,,,4.6,9.1,14.8,13.1,15.4,,,,,,Lazio,2004
14,14203.8,4.5,16.8,,,2.8,6.6,14.3,8.0,8.8,,,,,,Abruzzo,2004
15,12747.6,4.4,21.8,,,6.6,11.6,12.3,8.0,6.9,,,,,,Molise,2004
16,12262.0,6.2,35.6,,,17.5,15.1,26.2,21.1,15.5,,,,,,Campania,2004
17,12164.2,5.1,30.4,,,14.1,10.8,23.9,17.3,11.1,,,,,,Puglia,2004
18,12270.4,4.9,27.8,,,6.9,12.9,18.6,11.1,7.6,,,,,,Basilicata,2004
19,11363.1,6.1,35.8,,,14.6,14.4,27.0,19.9,12.6,,,,,,Calabria,2004
20,11799.0,6.9,39.5,,,16.5,15.0,28.3,22.5,12.0,,,,,,Sicilia,2004
21,12742.7,5.2,20.2,,,5.4,10.2,21.7,13.2,7.8,,,,,,Sardegna,2004
22,19598.2,4.7,10.3,91887.0,,2.8,5.9,9.3,7.7,12.2,,,,,,Nord,2004
23,19936.6,4.9,11.1,,,2.7,5.6,9.8,8.3,12.7,,,,,,Nord-ovest,2004
24,19126.8,4.4,9.2,,,2.8,6.3,8.7,6.8,11.6,,,,,,Nord-est,2004
25,18275.3,4.8,13.4,97180.0,,3.8,7.3,12.8,10.2,12.6,,,,,,Centro,2004
