,Per capita adjusted disposable income,Disposable income inequality,People at risk of poverty,Severe material deprivation rate,Severe housing deprivation rate,Difficulties to make ends meet,Low work intensity,Housing cost overburden,TERRITORIO,ANNO,unifiedSWB
0,19647.9,4.6,12.9,7.3,5.4,8.8,8.3,7.6,North-West,2012,0.20399999999999996
1,20467.1,4.2,9.7,8.3,5.4,10.6,8.7,9.8,North-West,2012,0.22933333333333336
2,20275.5,5.9,14.3,8.6,7.6,14.9,7.7,12.6,North-West,2012,0.20899999999999996
3,21402.7,4.6,9.1,10.5,6.0,13.7,4.9,6.3,North-West,2012,0.29166666666666663
4,21680.4,3.9,10.7,5.1,10.5,7.5,5.0,5.4,North-East,2012,0.3433333333333334
5,20438.8,4.3,12.2,6.2,10.5,10.5,7.1,6.6,North-East,2012,0.28633333333333333
6,18392.4,4.1,12.0,4.2,6.3,7.6,5.4,7.0,North-East,2012,0.24466666666666673
7,19293.3,3.9,11.5,6.4,3.4,8.2,6.9,4.8,North-East,2012,0.23566666666666666
8,21112.3,4.7,8.8,7.3,6.5,11.4,6.1,8.4,North-East,2012,0.177
9,19031.6,4.4,11.4,9.3,7.1,10.2,9.1,7.6,Centre,2012,0.11166666666666669
10,17870.4,4.2,11.9,10.0,4.2,10.3,8.4,6.5,Centre,2012,0.20599999999999993
11,17425.6,4.4,14.6,10.5,12.1,15.0,8.3,6.3,Centre,2012,0.196
12,19167.0,6.1,19.0,10.6,8.0,15.9,9.5,9.2,Centre,2012,0.17000000000000004
13,15344.3,4.4,20.4,8.1,8.6,18.5,10.5,8.9,South,2012,0.21699999999999997
14,13959.7,6.1,26.8,10.0,9.6,12.6,11.5,5.9,South,2012,0.2153333333333333
15,12604.1,10.0,36.7,21.8,17.9,26.2,18.6,13.7,South,2012,0.0646666666666666
16,13080.6,4.8,29.6,34.0,8.0,20.5,15.6,8.0,South,2012,0.10866666666666674
17,12978.3,5.7,32.0,23.5,5.4,15.6,15.0,7.6,South,2012,0.19766666666666668
18,12173.0,5.7,31.8,22.2,12.5,21.5,18.5,6.7,South,2012,0.19633333333333333
19,12751.2,8.4,41.9,35.9,9.9,45.7,19.1,8.7,Islands,2012,0.08366666666666667
20,14195.5,5.1,19.8,8.7,5.8,18.8,16.1,4.0,Islands,2012,0.19233333333333327
21,20797.7,4.7,10.7,9.4,6.0,12.4,6.1,7.4,North-West,2012,0.2583333333333333
22,19819.6,4.4,10.6,5.7,6.4,9.1,5.8,7.2,North-East,2012,0.22566666666666665
23,18798.0,5.2,15.5,10.1,8.0,13.6,9.1,8.1,Centre,2012,0.15733333333333333
24,12986.6,6.9,32.0,23.9,12.7,22.5,16.7,10.2,South,2012,0.11933333333333335
25,13107.3,7.7,36.4,29.2,8.8,39.1,18.4,7.5,Islands,2012,0.11033333333333334
26,19640.7,4.7,11.1,5.0,6.9,8.9,6.9,8.6,North-West,2013,0.13066666666666665
27,20232.1,3.6,9.5,9.2,9.5,11.1,9.5,4.9,North-West,2013,0.265
28,20245.3,5.7,15.6,8.1,8.3,18.3,9.4,11.8,North-West,2013,0.187
29,21434.8,4.7,8.4,9.2,5.9,11.5,6.1,8.2,North-West,2013,0.2613333333333333
30,22090.2,4.1,9.3,3.5,7.4,3.9,5.0,3.8,North-East,2013,0.35299999999999987
31,20916.8,3.7,9.5,4.8,6.5,6.6,3.4,5.2,North-East,2013,0.28900000000000003
32,18617.3,4.0,10.3,3.8,7.2,9.1,6.8,5.0,North-East,2013,0.22233333333333338
33,19502.9,3.7,9.8,6.6,4.0,9.0,5.8,5.8,North-East,2013,0.23233333333333328
34,21309.2,4.7,10.9,8.9,8.4,10.2,5.7,10.4,North-East,2013,0.16733333333333333
35,19053.1,4.3,12.1,4.8,8.9,11.9,8.6,10.6,Centre,2013,0.136
36,17713.3,5.2,14.8,8.6,9.0,11.7,8.4,8.8,Centre,2013,0.14966666666666667
37,17635.9,4.4,12.7,9.4,13.0,15.6,8.2,6.3,Centre,2013,0.15933333333333338
38,19064.2,6.5,18.0,7.1,8.0,14.7,9.0,9.9,Centre,2013,0.1743333333333333
39,15455.2,5.3,18.7,8.6,7.1,22.6,9.9,6.0,South,2013,0.20033333333333334
40,13838.7,4.9,30.8,18.9,11.4,19.7,18.0,9.3,South,2013,0.2006666666666667
41,12555.3,7.6,37.6,21.9,14.3,34.9,19.5,14.6,South,2013,0.12300000000000003
42,13132.4,5.0,29.6,24.7,9.8,30.2,14.8,5.3,South,2013,0.10199999999999998
43,12969.0,4.5,33.1,20.7,5.5,13.5,20.6,8.7,South,2013,0.24399999999999997
44,12153.4,5.9,33.6,19.7,9.4,18.1,17.9,5.5,South,2013,0.17566666666666664
45,12703.6,8.9,40.9,28.9,12.5,46.2,25.3,11.6,Islands,2013,0.058666666666666645
46,14547.8,5.5,21.3,13.6,8.3,25.6,15.2,6.3,Islands,2013,0.2303333333333333
47,20812.9,4.8,9.9,8.0,6.5,11.5,6.6,8.6,North-West,2013,0.21833333333333332
48,20051.2,4.3,10.4,6.0,7.3,9.0,6.1,7.0,North-East,2013,0.21366666666666675
49,18773.0,5.4,15.2,6.8,9.0,13.7,8.7,9.6,Centre,2013,0.15866666666666668
50,12986.4,6.2,32.6,21.0,11.2,28.8,17.1,9.4,South,2013,0.139
51,13158.6,8.0,36.1,25.1,11.5,41.1,22.8,10.3,Islands,2013,0.10166666666666663
52,19805.2,4.3,13.8,5.3,6.5,9.3,7.2,10.1,North-West,2014,0.25633333333333336
53,20363.6,3.8,8.4,9.4,9.2,16.2,6.7,7.3,North-West,2014,0.29566666666666663
54,20455.2,5.3,16.6,12.7,8.3,17.6,10.1,12.9,North-West,2014,0.21599999999999994
55,21543.4,5.2,9.0,8.5,8.4,11.4,7.1,6.9,North-West,2014,0.31466666666666665
56,21948.7,4.1,7.7,3.1,7.8,4.6,4.6,4.5,North-East,2014,0.393
57,20391.8,4.0,10.0,2.8,7.2,7.4,6.8,6.4,North-East,2014,0.3513333333333333
58,18807.7,3.8,11.6,4.7,7.2,7.5,5.5,5.8,North-East,2014,0.28300000000000003
59,19481.7,3.9,9.2,7.2,5.6,11.0,6.0,4.9,North-East,2014,0.26399999999999996
60,21381.2,4.7,10.1,7.3,8.4,11.0,5.0,8.4,North-East,2014,0.30166666666666664
61,19226.9,4.4,11.6,7.3,8.8,9.4,8.6,8.3,Centre,2014,0.24166666666666667
62,17640.2,5.1,16.5,5.2,10.0,14.3,10.7,9.0,Centre,2014,0.21933333333333327
63,17698.2,4.7,12.2,9.5,15.7,13.4,8.4,5.8,Centre,2014,0.188
64,19226.3,6.5,18.5,7.3,8.7,16.9,9.2,10.3,Centre,2014,0.2686666666666666
65,15394.5,5.0,22.0,9.5,10.5,22.8,11.6,7.4,South,2014,0.22433333333333327
66,13797.8,4.6,32.1,8.9,5.5,10.1,15.6,7.4,South,2014,0.23233333333333328
67,12746.9,6.0,38.1,18.7,12.5,38.4,22.8,12.2,South,2014,0.1476666666666666
68,13272.6,5.9,25.8,23.2,12.5,24.9,16.6,4.8,South,2014,0.158
69,13140.4,4.9,25.6,15.1,7.0,12.7,19.6,7.7,South,2014,0.187
70,12141.7,5.4,32.4,15.6,15.4,17.3,22.1,7.5,South,2014,0.21666666666666667
71,12790.3,8.3,40.1,26.0,10.6,34.7,25.0,12.0,Islands,2014,0.15966666666666662
72,14649.6,6.3,25.9,14.7,10.2,28.7,19.4,7.8,Islands,2014,0.28433333333333344
73,20949.6,5.0,11.1,8.1,7.8,11.5,7.4,8.4,North-West,2014,0.28833333333333333
74,20146.0,4.2,10.4,5.8,7.6,9.0,5.3,6.6,North-East,2014,0.298
75,18909.5,5.4,15.4,7.4,9.7,13.9,9.0,9.0,Centre,2014,0.24666666666666656
76,13104.7,5.8,31.6,18.3,12.3,28.4,19.7,8.7,South,2014,0.17133333333333334
77,13249.4,8.1,36.6,23.2,10.5,33.2,23.6,11.0,Islands,2014,0.191
78,19961.2,4.8,11.9,6.6,8.5,9.5,6.7,8.2,North-West,2015,0.271
79,20517.6,4.6,7.0,9.4,5.4,18.8,6.6,8.3,North-West,2015,0.3440000000000001
80,20610.9,5.3,15.9,11.6,7.7,18.5,8.7,10.8,North-West,2015,0.2423333333333333
81,21886.0,5.5,11.1,6.4,8.5,12.4,5.3,8.5,North-West,2015,0.32200000000000006
82,22326.5,4.6,8.3,5.2,10.2,6.1,4.3,6.7,North-East,2015,0.43300000000000005
83,20540.0,4.8,10.2,5.1,9.5,7.5,5.2,7.7,North-East,2015,0.43499999999999994
84,19172.0,4.3,10.9,3.6,8.7,5.7,7.2,4.5,North-East,2015,0.29033333333333333
85,19914.1,4.1,8.2,4.9,5.4,10.1,7.8,3.9,North-East,2015,0.33333333333333326
86,21616.7,4.6,9.7,5.9,8.5,8.4,4.9,7.7,North-East,2015,0.29333333333333333
87,19389.6,4.7,9.6,8.9,7.7,8.4,7.1,6.8,Centre,2015,0.26133333333333336
88,17790.2,5.0,18.4,10.4,12.3,11.9,11.7,9.0,Centre,2015,0.2656666666666666
89,17907.8,5.2,13.9,10.8,12.1,10.1,9.1,6.2,Centre,2015,0.2033333333333333
90,19410.9,6.6,20.5,7.2,8.3,11.0,10.5,12.4,Centre,2015,0.2576666666666666
91,15674.1,4.8,21.7,11.1,17.9,21.3,11.8,5.9,South,2015,0.2713333333333333
92,14057.6,5.7,27.1,9.9,6.8,13.6,11.4,6.4,South,2015,0.17366666666666666
93,13000.4,8.4,35.5,16.3,13.0,28.5,19.4,9.9,South,2015,0.17066666666666666
94,13603.9,5.8,30.3,26.9,9.1,24.5,17.8,9.3,South,2015,0.21266666666666673
95,13628.3,5.0,28.1,14.0,8.4,12.1,14.1,5.8,South,2015,0.24033333333333332
96,12329.7,8.2,33.8,15.7,17.5,22.0,16.6,8.5,South,2015,0.227
97,12968.5,9.2,42.3,27.3,10.5,28.1,28.3,11.3,Islands,2015,0.16399999999999998
98,14859.7,6.4,25.5,14.5,8.4,21.1,19.1,8.9,Islands,2015,0.28500000000000003
99,21223.6,5.3,11.8,7.0,8.4,12.2,6.0,8.7,North-West,2015,0.29966666666666664
100,20471.4,4.4,9.9,4.8,8.4,7.2,6.1,5.9,North-East,2015,0.30866666666666664
101,19089.1,5.8,16.1,8.4,8.9,10.2,9.4,9.6,Centre,2015,0.2523333333333334
102,13383.4,7.0,32.0,18.6,12.6,24.7,17.5,8.9,South,2015,0.20333333333333337
103,13435.7,8.6,38.2,24.2,10.0,26.4,26.1,10.7,Islands,2015,0.19400000000000003
104,20277.9,4.7,14.2,10.2,5.9,12.8,9.3,9.1,North-West,2016,0.31999999999999995
105,20747.8,4.7,14.6,7.3,4.2,7.7,10.7,7.6,North-West,2016,0.29
106,20944.9,5.2,14.8,7.9,9.2,8.3,9.6,9.9,North-West,2016,0.2796666666666666
107,22196.8,5.4,13.3,6.1,7.8,8.8,7.2,8.9,North-West,2016,0.3463333333333334
108,22849.2,4.4,11.0,6.2,5.3,4.4,5.7,8.2,North-East,2016,0.44799999999999995
109,20818.2,4.8,15.7,9.9,6.3,6.1,9.0,9.3,North-East,2016,0.4159999999999999
110,19686.8,4.2,12.2,5.0,4.3,3.9,6.7,6.6,North-East,2016,0.31166666666666665
111,20333.3,4.0,9.2,6.5,4.8,4.7,8.8,4.7,North-East,2016,0.3133333333333333
112,21947.6,4.6,8.9,6.3,5.3,5.6,6.5,7.4,North-East,2016,0.3313333333333333
113,19912.8,4.7,9.6,7.0,6.2,6.6,6.1,7.0,Centre,2016,0.2729999999999999
114,18016.0,4.1,15.5,8.5,13.0,8.0,8.5,7.4,Centre,2016,0.2723333333333333
115,18335.1,4.7,16.0,9.4,8.8,6.8,8.2,6.7,Centre,2016,0.2789999999999999
116,19527.5,6.4,21.8,9.5,5.8,8.6,10.8,13.0,Centre,2016,0.2869999999999999
117,15767.7,5.0,20.5,15.1,12.8,14.6,9.9,6.0,South,2016,0.29966666666666664
118,14072.7,4.6,30.6,6.4,3.1,13.5,15.5,10.7,South,2016,0.26733333333333337
119,13183.8,7.3,36.9,25.9,12.4,18.8,24.7,13.4,South,2016,0.23466666666666663
120,13816.6,5.4,27.4,19.8,9.7,17.8,17.9,6.9,South,2016,0.25266666666666665
121,13663.8,5.2,27.7,14.0,10.0,18.6,12.5,6.7,South,2016,0.2613333333333333
122,12513.5,6.9,34.6,16.0,7.7,12.8,21.4,9.9,South,2016,0.2776666666666667
123,13221.1,7.2,41.8,26.1,8.4,15.0,26.7,15.4,Islands,2016,0.24199999999999997
124,14975.8,6.5,26.4,9.5,5.5,21.6,21.0,9.4,Islands,2016,0.29666666666666663
