,Per capita adjusted disposable income,Disposable income inequality,People at risk of poverty,Severe material deprivation rate,Severe housing deprivation rate,Difficulties to make ends meet,Low work intensity,Housing cost overburden,TERRITORIO,ANNO,unifiedSWB
0,19647.9,4.6,12.9,7.3,5.4,8.8,8.3,7.6,Piemonte,2012,0.20399999999999996
1,20467.1,4.2,9.7,8.3,5.4,10.6,8.7,9.8,Valle d'Aosta,2012,0.22933333333333336
2,20275.5,5.9,14.3,8.6,7.6,14.9,7.7,12.6,Liguria,2012,0.20899999999999996
3,21402.7,4.6,9.1,10.5,6.0,13.7,4.9,6.3,Lombardia,2012,0.29166666666666663
4,21680.4,3.9,10.7,5.1,10.5,7.5,5.0,5.4,Trentino-Alto Adige,2012,0.3433333333333334
5,20438.8,4.3,12.2,6.2,10.5,10.5,7.1,6.6,Provincia Autonoma di Trento,2012,0.28633333333333333
6,18392.4,4.1,12.0,4.2,6.3,7.6,5.4,7.0,Veneto,2012,0.24466666666666673
7,19293.3,3.9,11.5,6.4,3.4,8.2,6.9,4.8,Friuli-Venezia Giulia,2012,0.23566666666666666
8,21112.3,4.7,8.8,7.3,6.5,11.4,6.1,8.4,Emilia-Romagna,2012,0.177
9,19031.6,4.4,11.4,9.3,7.1,10.2,9.1,7.6,Toscana,2012,0.11166666666666669
10,17870.4,4.2,11.9,10.0,4.2,10.3,8.4,6.5,Umbria,2012,0.20599999999999993
11,17425.6,4.4,14.6,10.5,12.1,15.0,8.3,6.3,Marche,2012,0.196
12,19167.0,6.1,19.0,10.6,8.0,15.9,9.5,9.2,Lazio,2012,0.17000000000000004
13,15344.3,4.4,20.4,8.1,8.6,18.5,10.5,8.9,Abruzzo,2012,0.21699999999999997
14,13959.7,6.1,26.8,10.0,9.6,12.6,11.5,5.9,Molise,2012,0.2153333333333333
15,12604.1,10.0,36.7,21.8,17.9,26.2,18.6,13.7,Campania,2012,0.0646666666666666
16,13080.6,4.8,29.6,34.0,8.0,20.5,15.6,8.0,Puglia,2012,0.10866666666666674
17,12978.3,5.7,32.0,23.5,5.4,15.6,15.0,7.6,Basilicata,2012,0.19766666666666668
18,12173.0,5.7,31.8,22.2,12.5,21.5,18.5,6.7,Calabria,2012,0.19633333333333333
19,12751.2,8.4,41.9,35.9,9.9,45.7,19.1,8.7,Sicilia,2012,0.08366666666666667
20,14195.5,5.1,19.8,8.7,5.8,18.8,16.1,4.0,Sardegna,2012,0.19233333333333327
21,20387.1,4.6,10.6,7.8,6.2,11.0,6.0,7.3,Nord,2012,0.24466666666666667
22,20797.7,4.7,10.7,9.4,6.0,12.4,6.1,7.4,Nord-ovest,2012,0.2583333333333333
23,19819.6,4.4,10.6,5.7,6.4,9.1,5.8,7.2,Nord-est,2012,0.22566666666666665
24,18798.0,5.2,15.5,10.1,8.0,13.6,9.1,8.1,Centro,2012,0.15733333333333333
25,13025.5,7.2,33.4,25.6,11.5,27.8,17.3,9.3,Mezzogiorno,2012,0.11699999999999999
26,12986.6,6.9,32.0,23.9,12.7,22.5,16.7,10.2,Sud,2012,0.11933333333333335
27,13107.3,7.7,36.4,29.2,8.8,39.1,18.4,7.5,Isole,2012,0.11033333333333334
28,17528.2,5.8,19.5,14.5,8.4,17.3,10.6,8.1,Italia,2012,0.18299999999999997
29,19640.7,4.7,11.1,5.0,6.9,8.9,6.9,8.6,Piemonte,2013,0.13066666666666665
30,20232.1,3.6,9.5,9.2,9.5,11.1,9.5,4.9,Valle d'Aosta,2013,0.265
